,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
7,15521,US,115145,36.8413888889,-83.32,,Census,City,KY,"Harlan, Kentucky",0,0,0,0,0,0,0,0,0,0,361,557,657,2647,4327.0,5122,4786,4177.0,3318.0,3024.0,2686.0,2081.0,1745.0
35,11984,US,115377,37.9144444444,-85.3191666667,,Census,City,KY,"Bloomfield, Kentucky",0,0,68,0,301,0,0,0,435,0,0,385,352,471,455.0,535,666,916.0,1072.0,954.0,845.0,855.0,838.0
85,9703,US,115281,39.0136111111,-84.5941666667,,Census,City,KY,"Erlanger, Kentucky",0,0,0,0,0,0,0,0,0,0,0,453,700,711,1853.0,2416,3694,7072.0,12676.0,14466.0,15979.0,16676.0,18082.0
99,9767,US,115421,36.9847222222,-85.0669444444,,Census,City,KY,"Jamestown, Kentucky",0,0,0,0,0,0,0,0,138,121,154,0,177,237,410.0,476,1064,792.0,1027.0,1441.0,1641.0,1624.0,1794.0
117,21582,US,57225,,,,Census,US County,KY,"Clinton County, Kentucky",0,0,0,0,0,3863,4889,5781,6497,7212,7047,7871,8153,8589,9004.0,10279,10650,8886.0,8174.0,9321.0,9135.0,9634.0,10272.0
245,9554,US,115144,36.8638888889,-83.1941666667,,Census,City,KY,"Evarts, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,502,1438.0,1642,1937,1473.0,1182.0,1234.0,1063.0,1101.0,962.0
316,29507,US,95627,,,,Census,US County,KY,"Bullitt County, Kentucky",0,3542,4311,5831,5652,6334,6774,7289,7781,8521,8291,9602,9487,9328,8868.0,9511,11349,15726.0,26090.0,43346.0,47567.0,61236.0,74319.0
317,10339,US,115158,38.3680555556,-85.1805555556,,Census,City,KY,"Eminence, Kentucky",0,0,0,0,0,0,0,0,0,1043,1002,1018,1274,1317,1323.0,1411,1462,1958.0,2225.0,2260.0,2055.0,2231.0,2498.0
430,9973,US,115449,37.6863888889,-85.2219444444,,Census,City,KY,"Springfield, Kentucky",0,164,249,0,618,598,527,497,502,610,642,1016,1329,1529,1487.0,1767,2032,2382.0,2961.0,3179.0,2875.0,2634.0,2519.0
462,10567,US,115136,37.935,-86.9052777778,,Census,City,KY,"Lewisport, Kentucky",0,0,0,0,0,0,0,0,308,362,435,328,596,572,574.0,591,656,610.0,1595.0,1832.0,1778.0,1639.0,1670.0
574,8235,US,115269,38.2391666667,-85.5294444444,,Census,City,KY,"Woodland Hills, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1233.0,839.0,714.0,657.0,696.0
647,6497,US,115232,38.169119,-85.685377,,Census,Unknown,KY,"Newburg, Louisville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,24612.0,21647.0,20636.0,0.0
809,6847,US,115235,38.2519444444,-85.6125,,Census,City,KY,"Norwood, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,254.0,372.0,395.0,370.0
849,21640,US,95537,,,,Census,US County,KY,"Perry County, Kentucky",0,0,0,0,3330,3089,3092,3950,4274,5607,6331,8276,11255,26042,42186.0,47828,46566,34961.0,26259.0,33763.0,30283.0,29390.0,28712.0
907,7218,US,115316,37.3980555556,-88.375,,Census,City,KY,"Carrsville, Kentucky",0,0,0,0,0,0,0,0,0,178,240,278,298,323,300.0,243,205,166.0,110.0,99.0,98.0,64.0,50.0
944,13811,US,115061,38.9588888889,-84.3891666667,,Census,City,KY,"Alexandria, Kentucky",0,0,0,0,0,0,0,0,381,378,0,359,353,316,424.0,430,536,1318.0,3844.0,4735.0,5592.0,8286.0,8477.0
967,7533,US,115199,38.2130555556,-85.5819444444,,Census,City,KY,"Forest Hills, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,180.0,469.0,502.0,454.0,494.0,444.0
970,22041,US,95559,,,,Census,US County,KY,"McLean County, Kentucky",0,0,0,0,0,0,0,6144,7614,9293,9887,12448,13241,12502,11072.0,11446,10021,9355.0,9062.0,10090.0,9628.0,9938.0,9531.0
984,6643,US,115238,38.2113888889,-85.7383333333,,Census,City,KY,"Parkway Village, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1036,949.0,829.0,754.0,707.0,715.0,650.0
999,10522,US,115359,37.9530555556,-83.6272222222,,Census,City,KY,"Frenchburg, Kentucky",0,0,0,0,0,0,0,0,0,143,222,210,172,270,246.0,289,268,296.0,467.0,550.0,625.0,551.0,486.0
1007,8093,US,115140,37.8119444444,-85.98,,Census,City,KY,"Vine Grove, Kentucky",0,0,0,0,0,0,0,0,0,0,397,427,570,594,523.0,822,1252,2435.0,2987.0,3648.0,3586.0,4169.0,4520.0
1008,6791,US,115291,38.9661111111,-84.4708333333,,Census,City,KY,"Ryland Heights, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,252.0,279.0,799.0,1022.0
1027,6344,US,115342,38.5341666667,-83.9575,,Census,City,KY,"Sardis, Kentucky",0,0,0,0,0,0,0,0,149,224,255,257,261,0,201.0,208,176,190.0,175.0,198.0,171.0,149.0,103.0
1044,22952,US,95554,,,,Census,US County,KY,"Mercer County, Kentucky",7091,9646,12630,15587,17694,18720,14067,13701,13144,14142,15034,14426,14063,14795,14471.0,14629,14643,14596.0,15960.0,19011.0,19148.0,20817.0,21331.0
1088,19249,US,95596,,,,Census,US County,KY,"Hancock County, Kentucky",0,0,0,0,1515,2581,3853,6213,6591,8563,9214,8914,8512,6945,6147.0,6807,6009,5330.0,7080.0,7742.0,7864.0,8392.0,8565.0
1111,9996,US,115078,36.8727777778,-89.01,,Census,City,KY,"Bardwell, Kentucky",0,0,0,0,0,0,0,0,0,0,578,1512,1087,1120,1139.0,1218,1033,1067.0,1049.0,988.0,819.0,799.0,723.0
1114,7249,US,115378,37.9325,-85.3819444444,,Census,City,KY,"Fairfield, Kentucky",0,0,0,0,0,0,0,0,167,0,0,206,292,329,148.0,0,202,290.0,163.0,169.0,142.0,72.0,113.0
1140,13584,US,115285,38.9536111111,-84.5469444444,,Census,City,KY,"Independence, Kentucky",0,0,0,0,0,0,182,189,134,165,0,193,153,153,260.0,253,285,309.0,1715.0,7998.0,10444.0,14982.0,24757.0
1174,25652,US,95604,,,,Census,US County,KY,"Gallatin County, Kentucky",0,1291,3307,7075,6674,4003,5137,5056,5074,4832,4611,5163,4697,4664,4437.0,4307,3969,3867.0,4134.0,4842.0,5393.0,7870.0,8589.0
1247,9437,US,115412,37.0669444444,-84.6,,Census,City,KY,"Ferguson, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,404,529,532.0,517,550,468.0,507.0,1009.0,934.0,881.0,924.0
1297,20799,US,95528,,,,Census,US County,KY,"Russell County, Kentucky",0,0,0,0,3879,4238,5349,6024,5809,7591,8136,9695,10861,11854,11930.0,13615,13717,11076.0,10542.0,13708.0,14716.0,16315.0,17565.0
1356,13355,US,115099,36.7927777778,-85.3694444444,,Census,City,KY,"Burkesville, Kentucky",0,0,106,0,0,340,369,0,0,434,0,0,817,798,886.0,1092,1278,1688.0,1717.0,2051.0,1815.0,1756.0,1521.0
1557,10550,US,115379,37.6591666667,-85.5891666667,,Census,City,KY,"New Haven, Kentucky",0,0,0,0,0,0,0,0,99,437,389,350,405,104,68.0,549,563,1009.0,977.0,926.0,796.0,849.0,855.0
1559,12383,US,115390,38.4066666667,-85.3794444444,,Census,City,KY,"La Grange, Kentucky",0,0,0,0,0,233,0,0,612,490,670,646,1152,1060,1121.0,1334,1558,2168.0,1713.0,2971.0,3853.0,5676.0,8082.0
1710,30833,US,95560,,,,Census,US County,KY,"McCreary County, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,11676,14627.0,16451,16660,12463.0,12548.0,15634.0,15603.0,17080.0,18306.0
1771,10420,US,115119,38.6822222222,-84.5963888889,,Census,City,KY,"Dry Ridge, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,143,129,97.0,257,640,802.0,1100.0,1250.0,1601.0,1995.0,2191.0
1781,8266,US,115087,37.0477777778,-87.4852777778,,Census,City,KY,"Crofton, Kentucky",0,0,0,0,0,0,0,0,0,136,428,278,402,527,461.0,688,500,892.0,631.0,823.0,699.0,838.0,749.0
1860,9927,US,150451,38.6547222222,-83.9633333333,,Census,City,KY,"Germantown, Kentucky",0,81,36,0,118,0,125,170,191,0,229,407,287,237,283.0,304,260,251.0,332.0,347.0,213.0,190.0,154.0
1885,10499,US,115273,37.8619444444,-84.6616666667,,Census,City,KY,"Wilmore, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,1157,1329.0,1228,2337,2773.0,3466.0,3787.0,4215.0,5905.0,5920.0
2028,8721,US,115115,38.7133333333,-84.8219444444,,Census,City,KY,"Glencoe, Kentucky",0,0,0,0,0,0,0,0,0,181,0,226,237,0,0.0,0,0,0.0,250.0,354.0,257.0,251.0,360.0
2124,8445,US,115147,36.965,-82.9166666667,,Census,City,KY,"Lynch, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1517.0,1614.0,1166.0,900.0,747.0
2220,7264,US,115160,38.3855555556,-85.2558333333,,Census,City,KY,"Smithfield, Kentucky",0,0,0,0,388,0,0,0,0,183,0,0,0,143,136.0,94,121,60.0,185.0,137.0,115.0,102.0,106.0
2233,13604,US,115326,37.0805555556,-88.0694444444,,Census,City,KY,"Eddyville, Kentucky",0,69,0,0,0,167,0,599,386,390,680,1210,1442,1182,1990.0,2407,1840,1858.0,1981.0,1949.0,1889.0,2350.0,2554.0
2330,7753,US,115059,36.5047222222,-88.3255555556,,Census,City,KY,"Hazel, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,395,415,359.0,396,444,342.0,424.0,465.0,460.0,440.0,410.0
2465,8113,US,115452,37.4780555556,-87.8208333333,,Census,City,KY,"Clay, Kentucky",0,0,0,0,0,0,0,0,170,248,323,450,1098,1378,1551.0,1429,1291,1343.0,1426.0,1356.0,1173.0,1179.0,1181.0
2470,7413,US,115401,37.3458333333,-83.4711111111,,Census,City,KY,"Buckhorn, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,144.0,162.0
2713,12744,US,9839337,37.0330555556,-88.3494444444,,Census,City,KY,"Calvert City, Kentucky",0,0,0,0,0,0,0,0,0,85,142,127,124,226,319.0,0,0,1505.0,2104.0,2388.0,2531.0,2701.0,2566.0
2859,10152,US,115022,38.1427777778,-83.7661111111,,Census,City,KY,"Owingsville, Kentucky",0,0,0,0,241,251,0,480,550,773,763,958,942,781,933.0,948,929,1040.0,1381.0,1419.0,1491.0,1488.0,1530.0
2863,7017,US,115249,38.1191666667,-85.7213888889,,Census,City,KY,"South Park View, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,287.0,248.0,214.0,196.0,7.0
2965,6245,US,115250,38.1441666667,-85.6325,,Census,City,KY,"Spring Mill, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,342.0,380.0,287.0
3108,7459,US,115177,38.2538888889,-85.6302777778,,Census,City,KY,"Beechwood Village, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1903.0,1788.0,1462.0,1263.0,1173.0,1324.0
3364,44825,US,95594,,,,Census,US County,KY,"Harlan County, Kentucky",0,0,0,1961,2929,3015,4268,5494,4415,5278,6197,9838,10566,31546,64557.0,75275,71751,51107.0,37370.0,41889.0,36574.0,33202.0,29278.0
3405,8733,US,115453,37.51,-87.6986111111,,Census,City,KY,"Dixon, Kentucky",0,0,0,0,0,0,0,0,330,515,546,569,741,716,650.0,642,624,541.0,572.0,533.0,552.0,632.0,786.0
3509,9488,US,115367,37.9691666667,-83.8244444444,,Census,City,KY,"Jeffersonville, Kentucky",0,0,0,0,0,0,0,0,0,60,0,84,86,53,84.0,0,0,0.0,775.0,1528.0,1854.0,1804.0,1506.0
3538,11647,US,115143,36.9769444444,-82.9875,,Census,City,KY,"Cumberland, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,300,2639.0,4149,4249,4271.0,3380.0,3712.0,3112.0,2611.0,2237.0
3570,8786,US,115198,38.3063888889,-85.5394444444,,Census,City,KY,"Fincastle, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,804.0,838.0,825.0,817.0
3645,6680,US,115253,38.1883333333,-85.8458333333,,Census,Census-designated place,KY,"St. Dennis, Louisville",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10326.0,9177.0,0.0
3741,7548,US,115363,36.7213888889,-85.9613888889,,Census,City,KY,"Fountain Run, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,188,246,151.0,334,218,298.0,128.0,340.0,259.0,236.0,217.0
3792,8759,US,10953946,37.7711111111,-82.7580555556,,Census,Unincorporated community,KY,"Van Lear, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,2056,2338.0,1723,1096,921.0,1033.0,2035.0,1050.0,2106.0,1857.0
3911,41284,US,115155,37.8355555556,-87.5808333333,,Census,City,KY,"Henderson, Kentucky",0,205,159,0,484,0,1775,0,4171,5365,8835,10272,11452,12169,11668.0,13160,16837,16892.0,22976.0,24834.0,25945.0,27373.0,28757.0
3974,26286,US,57834,38.2,-84.8666666667,,Census,City,KY,"Frankfort, Kentucky",0,628,1099,1679,1682,1917,3308,3702,5396,6958,7892,9487,10465,9805,11626.0,11492,11916,18365.0,21902.0,25973.0,25968.0,27741.0,25527.0
3986,14817,US,115428,36.7225,-86.5775,,Census,City,KY,"Franklin, Kentucky",0,0,0,0,280,0,0,828,1808,1686,2324,2166,3063,3154,3056.0,3940,4343,5329.0,6553.0,7738.0,7607.0,7996.0,8408.0
4083,20154,US,95593,,,,Census,US County,KY,"Harrison County, Kentucky",0,4350,7752,12278,13234,12472,13064,13779,12993,16504,16914,18570,16873,15798,14859.0,15124,13736,13704.0,14158.0,15166.0,16248.0,17983.0,18846.0
4137,8452,US,115036,38.4825,-82.6780555556,,Census,Census-designated place,KY,"Westwood, Boyd County, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,4888.0,4746.0
4156,12873,US,115028,38.9933333333,-84.6425,,Census,City,KY,"Florence, Kentucky",0,0,0,0,62,0,251,0,374,309,0,258,250,268,450.0,776,1325,5837.0,11661.0,15586.0,18624.0,23551.0,29951.0
4167,6392,US,115267,38.2505555556,-85.5741666667,,Census,City,KY,"Wildwood, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,412.0,309.0,266.0,247.0,261.0
4351,23144,US,115414,37.0830555556,-84.6094444444,,Census,City,KY,"Somerset, Kentucky",0,0,0,0,231,0,412,662,587,805,2625,3384,4491,4072,5508.0,6154,7097,7112.0,10436.0,10649.0,10733.0,11352.0,11196.0
4445,6964,US,115122,36.6447222222,-88.7363888889,,Census,City,KY,"Wingo, Kentucky",0,0,0,0,0,0,0,0,0,212,451,418,404,419,479.0,475,451,340.0,593.0,606.0,568.0,581.0,632.0
4466,15668,US,115026,36.7630555556,-83.6994444444,,Census,City,KY,"Pineville, Kentucky",0,0,0,0,0,0,0,0,0,83,0,2072,2161,2908,3567.0,3882,3890,3181.0,2817.0,2599.0,2198.0,2093.0,1732.0
4476,10856,US,115298,37.5711111111,-85.7386111111,,Census,City,KY,"Hodgenville, Kentucky",0,0,0,0,0,0,0,0,404,382,542,825,744,1100,1104.0,1348,1695,1985.0,2562.0,2531.0,2721.0,2874.0,3206.0
4489,27965,US,95564,,,,Census,US County,KY,"Marshall County, Kentucky",0,0,0,0,0,0,5269,6982,9455,9647,11287,13692,15771,15215,12889.0,16602,13387,16736.0,20381.0,25637.0,27205.0,30125.0,31448.0
4518,8042,US,115424,38.3916666667,-84.5355555556,,Census,City,KY,"Sadieville, Kentucky",0,0,0,0,0,0,0,0,0,0,170,532,467,448,527.0,477,355,276.0,272.0,253.0,255.0,263.0,303.0
4593,23496,US,95629,,,,Census,US County,KY,"Breathitt County, Kentucky",0,0,0,0,0,2195,3785,4980,5672,7742,8705,14322,17540,20614,21143.0,23946,19964,15490.0,14221.0,17004.0,15703.0,16100.0,13878.0
4609,23009,US,95636,,,,Census,US County,KY,"Bath County, Kentucky",0,0,0,7961,8799,9763,12115,12113,10145,11982,12813,14734,13988,11996,11075.0,11451,10410,9114.0,9235.0,10025.0,9692.0,11085.0,11591.0
4651,9283,US,115433,36.6475,-87.1708333333,,Census,City,KY,"Guthrie, Kentucky",0,0,0,0,0,0,0,0,0,322,449,807,1096,1160,1272.0,1253,1253,1211.0,1200.0,1361.0,1504.0,1469.0,1419.0
4731,8615,US,115092,36.7747222222,-87.3563888889,,Census,City,KY,"Pembroke, Kentucky",0,0,0,0,0,0,0,0,278,202,466,654,731,685,775.0,570,531,517.0,634.0,636.0,640.0,797.0,869.0
4823,9120,US,115451,36.8380555556,-84.85,,Census,City,KY,"Monticello, Kentucky",0,0,37,0,205,142,0,0,0,354,413,546,1338,1514,1503.0,1733,2934,2940.0,3618.0,5677.0,5357.0,5981.0,6188.0
4839,8698,US,115110,37.5677777778,-82.7594444444,,Census,City,KY,"Martin, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.0,957,1170,992.0,786.0,827.0,694.0,633.0,634.0
4882,8655,US,115440,37.5483333333,-87.9844444444,,Census,City,KY,"Sturgis, Kentucky",0,0,0,0,0,0,0,0,0,0,327,1258,1467,1750,2154.0,2321,2222,2209.0,2210.0,2293.0,2184.0,2030.0,1898.0
4949,21122,US,95608,,,,Census,US County,KY,"Fleming County, Kentucky",0,5016,8947,12186,13499,13268,13914,12489,13398,15221,16078,17074,16066,15614,12931.0,13327,11962,10890.0,11366.0,12323.0,12292.0,13792.0,14348.0
4966,11595,US,115174,38.205,-85.7275,,Census,City,KY,"Audubon Park, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1790,1867.0,1862.0,1571.0,1520.0,1545.0,1473.0
5033,21521,US,115426,38.2122222222,-85.2258333333,,Census,City,KY,"Shelbyville, Kentucky",0,262,444,0,1201,446,0,811,2180,2393,2679,3016,3412,3760,4033.0,4392,4403,4525.0,4182.0,5329.0,6238.0,10085.0,14045.0
5095,8610,US,115159,38.4336111111,-85.1694444444,,Census,City,KY,"New Castle, Kentucky",0,0,0,0,538,528,0,519,670,500,485,462,468,397,447.0,487,631,699.0,755.0,832.0,893.0,919.0,912.0
5106,8293,US,115388,38.3244444444,-85.4833333333,,Census,City,KY,"Crestwood, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,531.0,1435.0,1999.0,4531.0
5121,23641,US,95547,,,,Census,US County,KY,"Nelson County, Kentucky",11315,9866,14078,16273,14932,13637,14789,15799,14804,16609,16417,16587,16830,16137,16551.0,18004,19521,22168.0,23477.0,27584.0,29710.0,37477.0,43437.0
5205,26881,US,95612,,,,Census,US County,KY,"Edmonson County, Kentucky",0,0,0,0,2642,2914,4088,4645,4459,7222,8005,10080,10469,10894,11475.0,11344,9376,8085.0,8751.0,9962.0,10357.0,11644.0,12161.0
5376,9695,US,115362,36.9802777778,-85.6202777778,,Census,City,KY,"Edmonton, Kentucky",0,0,0,0,0,0,0,70,146,215,0,0,0,284,237.0,403,519,749.0,958.0,1448.0,1477.0,1586.0,1595.0
5419,10726,US,115156,37.6747222222,-87.5430555556,,Census,City,KY,"Robards, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,564.0,515.0
5469,10713,US,115086,37.3211111111,-84.9305555556,,Census,City,KY,"Liberty, Kentucky",0,0,33,0,118,135,0,0,0,0,136,450,330,368,549.0,676,1291,1578.0,1765.0,2206.0,1937.0,1850.0,2168.0
5512,8810,US,115152,37.3747222222,-85.9033333333,,Census,City,KY,"Bonnieville, Kentucky",0,0,0,0,0,0,0,0,0,180,0,270,257,0,0.0,0,0,376.0,328.0,372.0,300.0,354.0,255.0
5522,8333,US,115413,37.1752777778,-84.6355555556,,Census,City,KY,"Science Hill, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,257,331,399.0,439,445,463.0,470.0,655.0,628.0,634.0,693.0
5595,7303,US,115013,37.0519444444,-89.0447222222,,Census,City,KY,"Barlow, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,532,654,614.0,584,657,731.0,746.0,746.0,706.0,715.0,675.0
5608,7870,US,115203,38.2941666667,-85.5908333333,,Census,City,KY,"Goose Creek, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,450.0,361.0,321.0,272.0,294.0
5641,6589,US,115310,38.6872222222,-83.4908333333,,Census,City,KY,"Concord, Kentucky",0,0,0,0,0,0,0,0,228,178,188,200,213,194,164.0,160,142,83.0,108.0,67.0,65.0,28.0,35.0
5696,9493,US,115063,38.9191666667,-84.2633333333,,Census,City,KY,"California, Kentucky",0,0,0,0,0,0,0,0,0,179,316,292,248,146,144.0,106,117,163.0,90.0,135.0,130.0,86.0,90.0
5706,17902,US,95565,,,,Census,US County,KY,"Marion County, Kentucky",0,0,0,0,0,11032,11765,12593,12838,14693,15648,16290,16330,15527,15499.0,16913,17212,16887.0,16714.0,17910.0,16499.0,18212.0,19820.0
5775,8195,US,115389,38.4016666667,-85.5827777778,,Census,City,KY,"Goshen, Kentucky",0,0,0,0,0,0,0,0,0,40,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,907.0,909.0
5898,22156,US,95602,,,,Census,US County,KY,"Grant County, Kentucky",0,0,0,0,2986,4192,6531,8356,9529,13083,12671,13239,10581,10435,9876.0,9876,9809,9489.0,9999.0,13308.0,15737.0,22384.0,24682.0
5918,18603,US,95526,,,,Census,US County,KY,"Simpson County, Kentucky",0,0,0,4852,5815,6537,7733,8146,9573,10641,10878,11624,11460,11150,11336.0,11752,11678,11548.0,13054.0,14673.0,15145.0,16405.0,17327.0
5938,6568,US,115282,38.9977777778,-84.4888888889,,Census,City,KY,"Fairview, Kenton County, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,368.0,235.0,198.0,119.0,156.0,143.0
5973,7088,US,115293,39.0597222222,-84.5919444444,,Census,City,KY,"Villa Hills, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1647.0,4384.0,7739.0,7948.0,7489.0
5982,8168,US,115327,37.0588888889,-88.1136111111,,Census,City,KY,"Kuttawa, Kentucky",0,0,0,0,0,0,0,0,0,294,587,858,889,850,883.0,1125,794,635.0,453.0,560.0,535.0,596.0,649.0
5994,7271,US,115337,36.7630555556,-88.3,,Census,City,KY,"Hardin, Kentucky",0,0,0,0,0,0,0,0,0,0,0,240,366,436,348.0,414,324,458.0,522.0,545.0,595.0,564.0,615.0
6274,18642,US,115303,37.5713888889,-83.7066666667,,Census,City and county seat,KY,"Beattyville, Kentucky",0,0,0,0,0,0,0,0,123,146,0,696,1360,1210,906.0,1012,1042,1048.0,923.0,1068.0,1131.0,1193.0,1307.0
6373,8254,US,115292,39.0130555556,-84.4941666667,,Census,City,KY,"Taylor Mill, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,710.0,3146.0,4509.0,5530.0,6913.0,6604.0
6374,9559,US,115135,37.9011111111,-86.7494444444,,Census,City,KY,"Hawesville, Kentucky",0,0,0,0,0,0,0,1128,855,872,1013,1041,1002,829,790.0,896,925,882.0,1262.0,1036.0,998.0,971.0,945.0
6382,7087,US,115049,38.0783333333,-85.6938888889,,Census,City,KY,"Hunters Hollow, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,260.0,286.0,372.0,386.0
6662,15484,US,115369,37.9163888889,-83.2613888889,,Census,City,KY,"West Liberty, Kentucky",0,0,0,0,0,0,0,0,142,225,234,205,442,461,569.0,573,931,1165.0,1387.0,1381.0,1887.0,3277.0,3435.0
6763,19817,US,95621,,,,Census,US County,KY,"Carroll County, Kentucky",0,0,0,0,0,3966,5526,6578,6189,8953,9266,9825,8110,8346,8155.0,8657,8517,7978.0,8523.0,9270.0,9292.0,10155.0,10811.0
6849,9120,US,150461,37.4622222222,-85.8952777778,,Census,City,KY,"Upton, Kentucky",0,0,0,0,0,0,0,0,0,0,0,125,141,369,402.0,369,383,547.0,552.0,731.0,719.0,654.0,683.0
6852,6830,US,115181,38.2783333333,-85.5916666667,,Census,City,KY,"Briarwood, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,428.0,327.0,374.0,658.0,554.0,435.0
6877,20176,US,115332,37.5705555556,-85.2563888889,,Census,City,KY,"Lebanon, Kentucky",0,0,0,0,384,546,0,953,1925,2054,2816,3043,3077,3239,3248.0,3786,4640,4813.0,5528.0,6590.0,5695.0,5718.0,5539.0
7068,8918,US,115164,37.4177777778,-87.4805555556,,Census,City,KY,"Hanson, Kentucky",0,0,0,0,0,0,0,0,0,217,376,549,509,216,411.0,364,393,376.0,378.0,485.0,450.0,625.0,742.0
7070,27135,US,150465,36.9416666667,-84.0955555556,,Census,City,KY,"Corbin, Kentucky",0,0,0,0,0,0,0,0,0,0,0,1544,2589,3406,8036.0,7893,7744,7119.0,7474.0,8075.0,7419.0,7742.0,7304.0
7101,7933,US,115353,37.4425,-87.1466666667,,Census,City,KY,"Island, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,647,623,694.0,626,566,462.0,410.0,532.0,446.0,435.0,458.0
7156,24384,US,115408,37.4772222222,-82.53,,Census,City,KY,"Pikeville, Kentucky",0,0,0,0,0,0,0,0,140,246,456,508,1280,2110,3376.0,4185,5154,4754.0,5205.0,4756.0,6324.0,6295.0,6903.0
7236,25366,US,95522,,,,Census,US County,KY,"Todd County, Kentucky",0,0,0,0,8680,9991,12268,11575,12612,15994,16814,17371,16488,15694,13520.0,14234,12890,11364.0,10823.0,11874.0,10940.0,11971.0,12460.0
7243,7917,US,115277,39.0527777778,-84.5769444444,,Census,City,KY,"Crescent Springs, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,946.0,1662.0,1944.0,2179.0,3931.0,3801.0
7248,11597,US,115113,36.5091666667,-88.8788888889,,Census,City,KY,"Fulton, Kentucky",0,0,0,0,0,0,0,0,0,826,1818,2860,2575,3415,3502.0,3308,3224,3265.0,3250.0,3137.0,3078.0,2775.0,2445.0
7311,11561,US,115227,38.2433333333,-85.5308333333,,Census,City,KY,"Middletown, Kentucky",0,0,0,0,0,0,0,0,244,0,302,0,0,0,0.0,0,0,0.0,0.0,414.0,5016.0,5744.0,7218.0
7316,6915,US,115334,37.5605555556,-85.4297222222,,Census,City,KY,"Raywick, Kentucky",0,0,0,0,0,0,0,158,160,146,0,140,182,0,0.0,0,0,0.0,0.0,0.0,157.0,144.0,134.0
7351,7383,US,115448,37.7358333333,-85.0716666667,,Census,City,KY,"Mackville, Kentucky",0,0,0,0,0,0,0,216,180,0,0,171,190,0,0.0,0,0,0.0,219.0,229.0,200.0,206.0,222.0
7407,7376,US,115180,38.2436111111,-85.5652777778,,Census,City,KY,"Blue Ridge Manor, Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,577.0,465.0,565.0,623.0,767.0
