,article_length,country,id,lat,lon,other_years,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
104,23349,US,95446,46.27,-105.58,,Census,US County,MT,"Custer County, Montana",0,0,0,0,0,0,0,0,38,2510,5308,7891,14123,12194,11242.0,10422,12661,13227.0,12174.0,13109.0,11697.0,11696.0,11699.0
127,13404,US,123643,48.0077777778,-106.450277778,,Census,Town,MT,"Fort Peck, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,325.0,240.0,233.0
252,29004,US,95448,47.31,-111.35,,Census,US County,MT,"Cascade County, Montana",0,0,0,0,0,0,0,0,0,0,8755,25777,28833,38836,41146.0,41199,53027,73418.0,81804.0,80696.0,77691.0,80357.0,81327.0
419,20176,US,123348,45.1875,-109.248611111,,Census,City,MT,"Red Lodge, Montana",0,0,0,0,0,0,0,0,0,0,624,2152,4860,4515,3026.0,2950,2730,2278.0,1844.0,1896.0,1958.0,2177.0,2125.0
460,12159,US,123346,45.3916666667,-108.908611111,,Census,Town,MT,"Fromberg, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,520,446.0,533,442,367.0,364.0,469.0,370.0,486.0,438.0
537,25111,US,95454,45.12,-112.9,,Census,US County,MT,"Beaverhead County, Montana",0,0,0,0,0,0,0,0,722,2712,4655,5615,6446,7369,6654.0,6943,6671,7194.0,8187.0,8186.0,8424.0,9202.0,9246.0
913,14004,US,123390,45.7833333333,-111.183333333,,Census,City,MT,"Belgrade, Montana",0,0,0,0,0,0,0,0,0,30,0,0,561,499,533.0,618,663,1057.0,1307.0,2336.0,3411.0,5728.0,7389.0
1368,22992,US,95435,46.42,-113.45,,Census,US County,MT,"Granite County, Montana",0,0,0,0,0,0,0,0,0,0,0,4328,2942,4167,3013.0,3401,2773,3014.0,2737.0,2700.0,2548.0,2830.0,3079.0
1521,22372,US,94408,45.38,-105.64,,Census,US County,MT,"Powder River County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,3357,3909.0,3159,2693,2485.0,2862.0,2520.0,2090.0,1858.0,1743.0
1790,17271,US,123623,48.7761111111,-104.558888889,,Census,City,MT,"Plentywood, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,888,1226.0,1574,1862,2121.0,2381.0,2476.0,2136.0,2061.0,1734.0
1843,22183,US,94354,48.65,-111.69,,Census,US County,MT,"Toole County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,3724,6714.0,6769,6867,7904.0,5839.0,5559.0,5046.0,5267.0,5324.0
1942,9677,US,123529,45.4561111111,-112.195833333,,Census,Town,MT,"Sheridan, Montana",0,0,0,0,0,0,0,0,0,156,207,581,399,538,521.0,597,572,539.0,636.0,646.0,652.0,659.0,642.0
2014,8928,US,18362044,47.6841666667,-104.625,,Census,Cdp,MT,"Fox Lake, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,157.0,158.0
2218,24747,US,95453,45.43,-107.49,,Census,US County,MT,"Big Horn County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,7015,8543.0,10419,9824,10007.0,10057.0,11096.0,11337.0,12671.0,12865.0
2380,17879,US,123570,48.3555555556,-107.871388889,,Census,City,MT,"Malta, Montana",0,0,0,0,0,0,0,0,0,0,0,0,433,1427,1342.0,2215,2095,2339.0,2195.0,2367.0,2340.0,2120.0,1997.0
2502,24341,US,94352,48.36,-106.66,,Census,US County,MT,"Valley County, Montana",0,0,0,0,0,0,0,0,0,0,0,4355,13630,11542,11181.0,15181,11353,17080.0,11471.0,10250.0,8239.0,7675.0,7369.0
2538,24460,US,94395,46.08,-114.12,,Census,US County,MT,"Ravalli County, Montana",0,0,0,0,0,0,0,0,0,0,0,7822,11666,10098,10315.0,12478,13101,12341.0,14409.0,22493.0,25010.0,36070.0,40212.0
2581,45722,US,57842,46.5958055556,-112.027030556,,Census,City,MT,"Helena, Montana",0,0,0,0,0,0,0,0,3106,3624,13834,10770,12515,12037,11803.0,15056,17581,20227.0,22730.0,23938.0,24569.0,25780.0,28190.0
2688,12044,US,123621,48.5005555556,-104.503055556,,Census,Town,MT,"Medicine Lake, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,292,384.0,396,454,452.0,393.0,408.0,357.0,269.0,225.0
2800,12057,US,123636,47.6152777778,-111.980833333,,Census,Town,MT,"Fairfield, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,693,752.0,638.0,650.0,660.0,659.0,708.0
2810,24397,US,94361,45.9,-112.66,,Census,US County,MT,"Silver Bow County, Montana",0,0,0,0,0,0,0,0,0,0,23744,47635,56848,60313,56969.0,53209,48422,46454.0,41981.0,38092.0,33941.0,34606.0,34200.0
3161,15669,US,123534,47.0036111111,-114.478055556,,Census,Town,MT,"Alberton, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.0,283,326,356.0,363.0,368.0,354.0,374.0,420.0
3661,13514,US,123599,48.1472222222,-104.517222222,,Census,Town,MT,"Culbertson, Montana",0,0,0,0,0,0,0,0,0,0,0,0,528,547,536.0,585,779,919.0,821.0,887.0,796.0,716.0,714.0
3818,10105,US,123373,47.645,-105.069444444,,Census,Town,MT,"Richey, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.0,0,595,480.0,389.0,417.0,259.0,189.0,177.0
3829,21086,US,94413,46.49,-108.4,,Census,US County,MT,"Musselshell County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,12030,7242.0,5717,5408,4888.0,3734.0,4428.0,4106.0,4497.0,4538.0
3872,10682,US,123352,47.2719444444,-111.702777778,,Census,Town,MT,"Cascade, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,465,520.0,419,447,604.0,714.0,773.0,729.0,819.0,685.0
3957,11824,US,123651,46.6788888889,-109.753055556,,Census,City,MT,"Judith Gap, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,522,288.0,212,175,185.0,160.0,213.0,133.0,164.0,126.0
3981,26162,US,123563,45.6588888889,-110.563611111,,Census,City,MT,"Livingston, Montana",0,0,0,0,0,0,0,0,0,0,2850,2778,5259,6311,6391.0,6642,7683,8229.0,6883.0,6994.0,6701.0,6851.0,7044.0
4249,20434,US,94424,47.65,-114.09,,Census,US County,MT,"Lake County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9541.0,13490,13835,13104.0,14445.0,19056.0,21041.0,26507.0,28746.0
4412,9750,US,123627,46.03,-112.538333333,,Census,Town,MT,"Walkerville, Montana",0,0,0,0,0,0,0,0,0,444,1743,2621,2491,2391,2052.0,1880,1631,1453.0,1097.0,887.0,605.0,714.0,675.0
4481,9670,US,123554,46.5991666667,-107.869722222,,Census,Town,MT,"Melstone, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,477,215.0,203,195,266.0,227.0,238.0,166.0,136.0,96.0
4631,27566,US,95444,47.27,-104.9,,Census,US County,MT,"Dawson County, Montana",0,0,0,0,0,0,0,0,0,0,2056,2443,12725,9239,9881.0,8618,9092,12314.0,11269.0,11805.0,9505.0,9059.0,8966.0
4983,26934,US,95440,48.29,-114.02,,Census,US County,MT,"Flathead County, Montana",0,0,0,0,0,0,0,0,0,0,0,9375,14079,21705,19200.0,24271,31495,32965.0,39460.0,51966.0,59218.0,74471.0,90928.0
4985,10667,US,123406,46.6680555556,-113.146388889,,Census,Town,MT,"Drummond, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,531,577.0,494.0,414.0,264.0,318.0,309.0
5159,21539,US,123388,48.4116666667,-114.34,,Census,City,MT,"Whitefish, Montana",0,0,0,0,0,0,0,0,0,0,640,446,417,574,575.0,858,1025,1519.0,3349.0,3703.0,4368.0,5032.0,6357.0
5280,14321,US,123399,48.6347222222,-112.331111111,,Census,City,MT,"Cut Bank, Montana",0,0,0,0,0,0,0,0,0,0,0,43,500,1181,845.0,2509,3721,4539.0,4004.0,3688.0,3329.0,3105.0,2869.0
5563,17636,US,123355,46.9330555556,-110.736666667,,Census,Town,MT,"Neihart, Montana",0,0,0,0,0,0,0,0,0,0,0,833,268,749,169.0,466,289,150.0,109.0,91.0,53.0,91.0,51.0
5744,15800,US,123395,44.6625,-111.105833333,,Census,Town,MT,"West Yellowstone, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,300,400,500.0,756.0,735.0,913.0,1177.0,1271.0
5914,12498,US,123629,45.6333333333,-109.25,,Census,Town,MT,"Columbus, Montana",0,0,0,0,0,0,0,0,0,0,0,0,521,987,834.0,962,1097,1281.0,1173.0,1439.0,1573.0,1748.0,1893.0
5930,22646,US,95445,48.79,-105.55,,Census,US County,MT,"Daniels County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5553.0,4563,3946,3755.0,3083.0,2835.0,2266.0,2017.0,1751.0
5948,15651,US,123449,45.8702777778,-112.098333333,,Census,Town,MT,"Whitehall, Montana",0,0,0,0,0,0,0,0,0,0,0,0,417,629,553.0,818,928,898.0,1035.0,1030.0,1067.0,1044.0,1038.0
6355,9707,US,123323,44.6358333333,-112.591944444,,Census,Town,MT,"Lima, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,476,459.0,554,483,397.0,351.0,272.0,265.0,242.0,221.0
6426,13636,US,123407,46.3330555556,-113.296666667,,Census,Town,MT,"Philipsburg, Montana",0,0,0,0,0,0,0,0,0,299,1058,995,1109,1724,1300.0,1304,1048,1107.0,1128.0,1138.0,925.0,914.0,820.0
6433,21131,US,94350,46.96,-104.25,,Census,US County,MT,"Wibaux County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,3113,2767.0,2161,1907,1698.0,1465.0,1476.0,1191.0,1068.0,1017.0
6528,24606,US,123412,48.55,-109.683333333,,Census,City,MT,"Havre, Montana",0,0,0,0,0,0,0,0,0,0,0,1033,3624,5429,6372.0,6427,8086,10740.0,10558.0,10891.0,10201.0,9621.0,9310.0
6553,37801,US,94415,47.04,-113.93,,Census,US County,MT,"Missoula County, Montana",0,0,0,0,0,0,0,0,2554,2537,14427,13964,23596,24041,21782.0,29038,35493,44663.0,58263.0,76016.0,78687.0,95802.0,109426.0
6599,9693,US,123404,46.295,-108.939722222,,Census,Town,MT,"Lavina, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,199,195,212.0,169.0,164.0,151.0,209.0,187.0
6711,13311,US,123585,46.0219444444,-114.179722222,,Census,Town,MT,"Darby, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,325,285.0,481,415,398.0,538.0,581.0,625.0,710.0,720.0
6854,21664,US,94418,47.65,-105.8,,Census,US County,MT,"McCone County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,4747,4790.0,3798,3258,3321.0,2875.0,2702.0,2276.0,1977.0,1734.0
6906,16471,US,123576,45.4427777778,-105.409166667,,Census,Town,MT,"Broadus, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,517,628.0,799.0,712.0,572.0,451.0,468.0
7200,8968,US,123347,45.4844444444,-108.971388889,,Census,Town,MT,"Joliet, Montana",0,0,0,0,0,0,0,0,0,0,0,0,389,440,359.0,476,410,452.0,412.0,580.0,522.0,575.0,595.0
7378,11005,US,123350,47.3858333333,-110.926666667,,Census,City,MT,"Belt, Montana",0,0,0,0,0,0,0,0,0,0,0,0,1158,967,810.0,744,702,757.0,656.0,825.0,571.0,633.0,597.0
8398,18364,US,123372,47.1086111111,-104.710555556,,Census,City,MT,"Glendive, Montana",0,0,0,0,0,0,0,0,0,500,720,1200,2428,3816,4629.0,4524,5254,7058.0,6305.0,5978.0,4802.0,4729.0,4935.0
8437,11659,US,123405,46.2988888889,-109.255555556,,Census,Town,MT,"Ryegate, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,405,292.0,348,339,314.0,261.0,273.0,260.0,268.0,245.0
8570,12559,US,123492,48.5111111111,-110.967222222,,Census,Town,MT,"Chester, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,402,387.0,548,733,1158.0,936.0,963.0,942.0,871.0,847.0
9008,8740,US,123588,46.3341666667,-114.222777778,,Census,Town,MT,"Pinesdale, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,670.0,742.0,917.0
9355,19715,US,123364,47.8194444444,-110.669722222,,Census,City,MT,"Fort Benton, Montana",0,0,0,0,0,0,0,0,0,1618,624,1024,1004,1065,1109.0,1227,1522,1887.0,1863.0,1693.0,1660.0,1594.0,1464.0
9381,18994,US,123632,45.8333333333,-109.950277778,,Census,City,MT,"Big Timber, Montana",0,0,0,0,0,0,0,0,0,100,265,850,1022,1282,1224.0,1533,1679,1660.0,1592.0,1690.0,1557.0,1650.0,1641.0
9445,9010,US,124885,47.1530555556,-110.219166667,,Census,Town,MT,"Stanford, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,300,509.0,529,542,615.0,505.0,595.0,529.0,454.0,401.0
9479,9650,US,124875,46.4163888889,-104.517777778,,Census,Town,MT,"Plevna, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,241,258.0,291,247,263.0,189.0,191.0,140.0,138.0,162.0
9635,6208,US,123595,47.4536111111,-104.345,,Census,Cdp,MT,"Knife River, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,297.0,320.0
9709,101710,US,123654,45.7866666667,-108.537222222,,Census,City,MT,"Billings, Montana",0,0,0,0,0,0,0,0,145,587,836,3211,10031,15100,16386.0,23216,31834,52851.0,61581.0,66798.0,81151.0,89847.0,104170.0
9777,9864,US,123575,48.3061111111,-112.251111111,,Census,Town,MT,"Valier, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,613,575.0,641,710,724.0,651.0,640.0,519.0,498.0,509.0
9891,9849,US,123547,46.7652777778,-114.085833333,,Census,Cdp,MT,"Lolo, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2418.0,2746.0,3388.0,3892.0
9979,25578,US,25609838,46.4083333333,-105.84,,Census,City,MT,"Miles City, Montana",0,0,0,0,0,0,0,0,0,629,956,1938,4697,7937,7175.0,7313,9243,9665.0,9023.0,9602.0,8461.0,8487.0,8410.0
10083,10212,US,123568,47.0044444444,-108.351111111,,Census,Town,MT,"Winnett, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,316,408.0,399,407,360.0,271.0,207.0,188.0,185.0,182.0
10188,20466,US,94409,48.24,-112.22,,Census,US County,MT,"Pondera County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,5741,6964.0,6716,6392,7653.0,6611.0,6731.0,6433.0,6424.0,6153.0
10533,14840,US,123607,46.2666666667,-106.677777778,,Census,City,MT,"Forsyth, Montana",0,0,0,0,0,0,0,0,0,0,308,0,1398,1838,1591.0,1696,1906,2032.0,1873.0,2553.0,2178.0,1944.0,1777.0
10619,12609,US,123541,47.1933333333,-114.890277778,,Census,Town,MT,"Superior, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,626,1242.0,993.0,1054.0,881.0,893.0,812.0
10629,13679,US,123341,46.3202777778,-111.517777778,,Census,City,MT,"Townsend, Montana",0,0,0,0,0,0,0,0,0,0,245,446,759,897,735.0,1309,1316,1528.0,1371.0,1587.0,1635.0,1867.0,1878.0
10819,27312,US,95443,46.12062,-112.98746,,Census,US County,MT,"Deer Lodge County, Montana",0,0,0,0,0,0,0,0,4367,8876,15155,17393,12988,15323,16293.0,13627,16553,18640.0,15652.0,12518.0,10278.0,9417.0,9298.0
10845,23369,US,95438,,,,Census,US County,MT,"Garfield County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,5368,4252.0,2641,2172,1981.0,1796.0,1656.0,1589.0,1279.0,1206.0
10946,23356,US,123322,45.2158333333,-112.634166667,,Census,City,MT,"Dillon, Montana",0,0,0,0,0,0,0,0,0,0,1012,1530,1835,2701,2422.0,3014,3268,3690.0,4548.0,3976.0,3991.0,3752.0,4134.0
11309,14192,US,123380,48.3702777778,-114.188888889,,Census,City,MT,"Columbia Falls, Montana",0,0,0,0,0,0,0,0,0,0,0,0,601,611,637.0,637,1232,2132.0,2652.0,3112.0,2942.0,3645.0,4688.0
11717,9390,US,123646,48.135,-106.36,,Census,Town,MT,"Nashua, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,272,351.0,943,691,796.0,513.0,495.0,375.0,325.0,290.0
